start,end,weight average
9. boynton middle school,11. bus garage,484.3055556
9. boynton middle school,12. enfield elementary,484.3055556
9. boynton middle school,13. lehman alternative,484.3055556
9. boynton middle school,14. tompkins recycling,484.3055556
9. boynton middle school,tst boces tompkins,484.3055556
tst boces tompkins,1. dewitt middle school,0
tst boces tompkins,10. maint garage,0
tst boces tompkins,2. northeast elementary,0
tst boces tompkins,3. cayuga heights elementary,0
tst boces tompkins,4. belle sherman,0
tst boces tompkins,5. caroline elementary,0
tst boces tompkins,6. south hill elementary,0
tst boces tompkins,7. bjm elementary,0
tst boces tompkins,8. fall creek elementary,0
tst boces tompkins,9. boynton middle school,0
tst boces tompkins,11. bus garage,0
tst boces tompkins,12. enfield elementary,0
tst boces tompkins,13. lehman alternative,0
tst boces tompkins,14. tompkins recycling,0
tst boces tompkins,tst boces tompkins,0
